mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__class_weight,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Antibiotic,Model,param_clf__C,param_clf__l1_ratio,param_clf__max_iter,param_clf__penalty,param_clf__solver
2.3382390975952148,0.021678064003426766,0.17741799354553223,0.006073459456158313,False,balanced,15.0,0.7,7.0,8.0,948.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced', 'clf__max_depth': 15, 'clf__max_features': 0.7, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 8, 'clf__n_estimators': 948}",0.9612765957446808,0.9468085106382979,0.9587765957446809,0.9884751773049645,0.9469565217391305,0.9604586802343509,0.015212218221884606,44,imipenem,Random Forest,,,,,
2.6841270446777346,0.02809025481375304,0.16984224319458008,0.00884819441788264,True,balanced,20.0,0.5,7.0,3.0,881.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 3, 'clf__n_estimators': 881}",0.9570212765957447,0.9539007092198581,0.9632092198581561,0.9849290780141844,0.931304347826087,0.9580729263028062,0.017220363250461203,57,imipenem,Random Forest,,,,,
3.230310010910034,0.048059638838516855,0.14407939910888673,0.0048177326189765566,True,balanced_subsample,,0.7,6.0,13.0,755.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 0.7, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 13, 'clf__n_estimators': 755}",0.9570212765957447,0.9512411347517731,0.964095744680851,0.9902482269503545,0.9339130434782609,0.9593038852913967,0.018414273234727285,51,imipenem,Random Forest,,,,,
0.9257337093353272,0.011590805858757908,0.09490890502929687,0.009507606987530047,False,balanced_subsample,30.0,0.3,7.0,8.0,389.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 30, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 8, 'clf__n_estimators': 389}",0.9587234042553191,0.9574468085106383,0.961436170212766,0.9893617021276596,0.948695652173913,0.9631327474560593,0.013791579799617322,35,imipenem,Random Forest,,,,,
2.7233928203582765,0.020159861202649232,0.18487606048583985,0.01979441145757857,True,balanced,,0.3,9.0,14.0,944.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 14, 'clf__n_estimators': 944}",0.943404255319149,0.9512411347517731,0.9410460992907801,0.976063829787234,0.9191304347826087,0.9461771507863089,0.018354285606436423,77,imipenem,Random Forest,,,,,
1.257623291015625,0.01652610589177478,0.09485268592834473,0.005812778048912302,True,balanced,30.0,0.3,9.0,6.0,424.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': 30, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 6, 'clf__n_estimators': 424}",0.9417021276595745,0.9494680851063829,0.9419326241134751,0.9742907801418439,0.9191304347826087,0.9453048103607771,0.017702927443761226,80,imipenem,Random Forest,,,,,
3.6329702377319335,0.05575589004769018,0.1838143825531006,0.01656458232994438,True,balanced_subsample,15.0,0.3,6.0,10.0,891.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 15, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 10, 'clf__n_estimators': 891}",0.9561702127659575,0.9592198581560284,0.9596631205673759,0.9840425531914893,0.9347826086956521,0.9587756706753007,0.015632374458107588,53,imipenem,Random Forest,,,,,
2.813392162322998,0.027421338444220438,0.13847174644470214,0.010630764783838736,True,balanced_subsample,,log2,4.0,13.0,709.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 13, 'clf__n_estimators': 709}",0.9280851063829788,0.9530141843971631,0.9002659574468085,0.9698581560283688,0.8739130434782608,0.9250272895467161,0.03472236407613511,89,imipenem,Random Forest,,,,,
4.634518575668335,0.04167617279667413,0.20300302505493165,0.016533927820903307,True,balanced_subsample,10.0,sqrt,5.0,18.0,1151.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 18, 'clf__n_estimators': 1151}",0.9306382978723403,0.9406028368794327,0.9064716312056738,0.9698581560283688,0.8869565217391303,0.9269054887449892,0.028495421861858182,86,imipenem,Random Forest,,,,,
2.6236299514770507,0.03214912913195151,0.17361164093017578,0.010848802358812177,True,balanced,,log2,2.0,6.0,935.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__n_estimators': 935}",0.9485106382978724,0.9627659574468085,0.9516843971631206,0.9840425531914893,0.8956521739130435,0.9485311440024669,0.02922265901687461,70,imipenem,Random Forest,,,,,
